PROBLEM_ID,TITLE_NM,TAGS_NM,SOLVED_LVL,HASH_ID
1000,A+B,impl arithmetic math,1,1000
1001,A-B,impl arithmetic math,1,1001
1002,터렛,math geom case work,8,1002
1003,피보나치 함수,dp,8,1003
1004,어린 왕자,math geom,8,1004
1005,ACM Craft,dp graph dag topological sorting,13,1005
1006,습격자 초라기,dp,18,1006
1007,벡터 매칭,math bruteforce,14,1007
1008,A/B,impl arithmetic math,1,1008
1009,분산처리,math impl,4,1009
1010,다리 놓기,math dp combinatorics,6,1010
1011,Fly me to the Alpha Centauri,math,11,1011
1012,유기농 배추,graph traversal bfs dfs grid graph ff,9,1012
1013,Contact,string regex,11,1013
1014,컨닝,bitmask dp flow bitfield dp graph,17,1014
1015,수열 정렬,sorting,7,1015
1016,제곱 ㄴㄴ 수,math number theory primality test eratosthenes,15,1016
1017,소수 쌍,math number theory primality test eratosthenes bipartite matching,18,1017
1018,체스판 다시 칠하기,impl bruteforce,7,1018
1019,책 페이지,math impl,16,1019
1020,디지털 카운터,dp,19,1020
1021,회전하는 큐,ds deque,8,1021
1022,소용돌이 예쁘게 출력하기,math impl,13,1022
1023,괄호 문자열,math dp combinatorics,18,1023
1024,수열의 합,math,9,1024
1025,제곱수 찾기,bruteforce,11,1025
1026,보물,math greedy sorting,7,1026
1027,고층 건물,math bruteforce geom,12,1027
1028,다이아몬드 광산,dp prefix sum,16,1028
1029,그림 교환,dp bitmask bitfield dp,15,1029
1030,프렉탈 평면,impl d&c recursion,13,1030
1031,스타 대결,graph flow,21,1031
1032,명령 프롬프트,impl string,5,1032
1033,칵테일,math graph traversal number theory euclidean algorithm,14,1033
1034,램프,bruteforce ad-hoc parity,12,1034
1035,조각 움직이기,graph bruteforce traversal bfs bitmask,15,1035
1036,36진수,math impl greedy string arbitrary precision / big integers,14,1036
1037,약수,math number theory,5,1037
1038,감소하는 수,bruteforce backtrack,11,1038
1039,교환,graph traversal bfs,14,1039
1040,정수,dp greedy bitmask digit dp,19,1040
1041,주사위,math impl greedy,11,1041
1042,움,dp string,20,1042
1043,거짓말,graph ds traversal dsu,12,1043
1044,팀 선발,set bitmask meet in the middle,18,1044
1045,도로,graph greedy mst,15,1045
1046,그림자,impl sorting geom sweeping line segment intersection check angle sorting,23,1046
1047,울타리,greedy bruteforce,16,1047
1048,유니콘,dp prefix sum,17,1048
1049,기타줄,math greedy,7,1049
